"2023-10-26 00:16:45 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - Starting Lab1Application using Java 21.0.1 with PID 12688 (C:\Labs\Technologies_of_programming_in_the_Internet\Lab1\target\classes started by kiril in C:\Labs\Technologies_of_programming_in_the_Internet\Lab1)
""2023-10-26 13:05:42 [restartedMain] INFO  by.gvozdovskiy.lab1.Lab1Application - Started Lab1Application in 0.699 seconds (process running for 10.549)
""2023-10-26 13:05:42 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2023-10-26 13:05:45 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-10-26 13:05:45 [http-nio-8080-exec-1] INFO  b.g.lab1.controller.AlbumController - /index was called
""2023-10-26 13:05:47 [http-nio-8080-exec-5] INFO  b.g.lab1.controller.AlbumController - /allalbums was called
""2023-10-26 13:05:52 [http-nio-8080-exec-7] INFO  b.g.lab1.controller.AlbumController - /remove was called
""2023-10-26 13:12:44 [http-nio-8080-exec-3] INFO  b.g.lab1.controller.AlbumController - /allalbums was called
""2023-10-26 13:12:52 [http-nio-8080-exec-2] INFO  b.g.lab1.controller.AlbumController - /allalbums was called
""2023-10-26 13:13:18 [http-nio-8080-exec-6] INFO  b.g.lab1.controller.AlbumController - /editalbum was called
""2023-10-26 13:13:27 [http-nio-8080-exec-10] INFO  b.g.lab1.controller.AlbumController - /allalbums was called
"
